Sl. No.,Species,Production (Metric Ton),%
1,Rui (Labeo rohita),9,0.07
2,Catla (Catla catla),14,0.11
3,Mrigal (Cirrhinus cirrhosus),4,0.03
4,Kalibaus (Labeo calbasu),11,0.09
5,Bata (Labeo bata),15,0.12
6,Ghania (Labeo gonius),0,0.00
7,Silver Carp (Hypophthalmichthys molitrix),0,0.00
8,Grass Carp (Ctenopharyngodon idella),4,0.03
9,Common Carp (Cyprinus carpio),0,0.00
10,Other Exotic Carp,0,0.00
11,Pangas (Pangasius pangasius),0,0.00
12,"Boal/Air/Guizza Air
(Wallago attu/ Sperata aor / Sperata seenghala)",137,1.11
13,"Shol/Gazar/Taki
(Channa striatus/C. marulius/C. punctatus)",29,0.25
14,Koi (Anabas testudineus),0.02,0.00
15,Shingi/Magur (Heteropneustes fossilis/Clarias batrachus),2,0.02
16,Big Prawn,0,0.00
17,Small Prawn,130,1.05
18,Tilapia/Nilotica (Oreochromis mossambicus/ O. niloticus),17,0.14
19,Sarpunti (Puntius sarana),9,0.07
20,Other Fish,11964,96.91
T O T A L,None,12345,100
