Bangladesh/Division,Jute,None,None_1,None_2
None,"Yield rate(m.ton) per
acre",Expenditure per acre in Tk.,"Price of produced crops per
acre ( Tk.)","Price of by products per
acre (Tk)"
1,2,3,4,5
Bangladesh,0.94,25439,44594,9021
Barishal Division,0.58,18605,25767,8547
Chattogram Division,0.76,32780,37790,8846
Dhaka Division,0.95,23557,47036,9125
Khulna Division,0.99,24280,46682,8580
Mymensingh Division,0.9,27813,40958,9127
Rajshahi Division,0.9,27882,41179,9927
Rangpur Division,0.92,29135,42797,8650
Sylhet Division,0.58,23176,26732,8919
