District,Principal River,None,None_1,None_2,None_3,None_4,Principal River Total (A),Other River Total (B),Grand Total (A+B)
None,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
putra",None,None,None
Dhaka,0,0,759,0,0,0,759,532,1291
Faridpur,0,0,2105,0,0,0,2105,714,2819
Gazipur,0,0,0,0,0,0,0,503,503
Gopalganj,0,0,0,0,0,0,0,797,797
Kishoreganj,0,1189,0,0,0,0,1189,1518,2707
Madaripur,0,0,1433,0,0,0,1433,361,1794
Manikganj,0,0,2080,0,716,0,2796,442,3238
Munshiganj,0,1534,1705,0,0,0,3239,484,3723
Narayanganj,0,1405,0,0,0,0,1405,455,1860
Narsingdi,0,2436,0,0,0,0,2436,590,3026
Rajbari,0,0,1240,1248,0,0,2488,710,3198
Shariatpur,2454,0,3560,0,0,0,6014,614,6628
Tangail,0,0,0,0,1214,0,1214,479,1693
Dhaka Division,2454,6564,12882,1248,1930,0,25078,8199,33277
Jamalpur,0,0,0,0,560,2685,3245,291,3536
Mymensingh,0,0,0,0,0,0,0,1416,1416
Netrakona,0,0,0,0,0,0,0,1581,1581
Sherpur,0,0,0,0,0,0,0,1080,1080
Mymensingh Division,0,0,0,0,560,2685,3245,4368,7613
Bagerhat,0,0,0,0,0,0,0,5700,5700
Chuadanga,0,0,0,0,0,0,0,396,396
Jashore,0,0,0,0,0,0,0,1034,1034
Jhenaidah,0,0,0,0,0,0,0,403,403
Khulna,0,0,0,0,0,0,0,4209,4209
Kushtia,0,0,0,251,0,0,251,1169,1420
Magura,0,0,0,0,0,0,0,1241,1241
Meherpur,0,0,0,0,0,0,0,329,329
Narail,0,0,0,0,0,0,0,1039,1039
Satkhira,0,0,0,0,0,0,0,1547,1547
Khulna Division,0,0,0,251,0,0,251,17067,17318
Barguna,0,0,0,0,0,0,0,7295,7295
Barishal,43880,0,0,0,0,0,43880,5794,49674
Bhola,105140,0,0,0,0,0,105140,5696,110836
Jhalokati,0,0,0,0,0,0,0,2558,2558
Patuakhali,0,0,0,0,0,0,0,35259,35259
Pirojpur,0,0,0,0,0,0,0,4082,4082
Barishal Division,149020,0,0,0,0,0,149020,60684,209704
