col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"0702 Tomatoes, fresh or chilled",Kg,46345402,2006143,39464020,1946454,48828639,2717765
0703 Onion and shallots,Kg,755883739,26712780,883551362,38262655,765452503,49559655
07032090 Garlic,Kg,59462385,5436250,117547248,13285663,151094020,20869223
"0707-Cucumber gherkin
fresh/chilled",Kg,4416,595,1128,174,1278,279
"0708-Peas (pisum sativum)
fresh/chill",Kg,113183,5084,47206,5100,382171,22405
"0709-Vegetable, fresh or chilled:
other",Value,11467822,534353,4789417,278395,33850652,1947879
"07132090 -Peas shelled,
skinned or not",Kg,343568267,18936580,302667517,25405531,181199525,15487244
"07132090-Chick peas shelled,
skinned or not",Kg,-,-,-,-,-,-
"07133590-Beans dry shelled,
skinned or not",Kg,1,0.4,6,4,-,-
"07134090-Lentils, dried, shelled",Kg,479785402,35743785,605079667,60487966,524140424,58171493
skin or not,,-,-,8757185,934011,-,-
"07139090-Leguminous Veg
seeds, dry shelled",Kg,1819555,128418,8757185,934011,356706582,23021901
"08012290-Cashew nut fresh/ dry
shelld or not",Kg,1947,626,517,167459,2992,2036
"08021190-Almonds, in shell",Kg,2926,670,2970195,554289868,125,64
"08021290-Almonds, shelled",Kg,1956610,308616,289153795,25437180,2119758,935578
1205 Rape seed broken or not,Kg,449398822,32038642,10576991,1109807,273436579,26560869
"12075090 Mustard seeds broken
or not",Kg,36185799,2377881,13139423,1906806,25512560,2630631
"1207 Oil seeds, other",Kg,37702245,2866021,409587,32230,28606528,3728407
"1208 Flours/meal of other oil
seeds nec",Kg,853612,61318,-,-,52111,8455
"12091000Beet seed for sowing,
other",Kg,417,393,-,-,-,-
"12099100Vegetable seeds for
sowing",Kg,1301203,2211208,2471274,3136413,2971838,3904009
"12099900 Seeds, for sowing
other",Kg,4106313,691510,4645988,929987,3056450,791719
"1211 Plant & part etc use in
perfumery",Kg,26040143,1769850,29564486,1988701,24310023,2311345
"12119019 Plant & part herb etc
for medicine",Kg,6528,3671,27,1065,3504,2686
"12119091 Plant & part for
insecticidal etc",Value,200753,21433,273700,35356,265283,38646
"13021900 Vegetable saps &
extract: other",Kg,60758,307106,49857,249312,73576,390355
13023100 Mucilages &thickners:,Kg,17731,6660,13144,6935,68819,39159
"14049091 Vegetable products,",kg,-,-,-,-,3700,4519
"other, nec degummed or not",kg,-,-,-,-,-,
"1507 Soyabean oil/ fractions
other",Kg,1369191196,169855596,"141042976
6-",204949590,1133688749,127338277
1508 Groundnut oil/fraction,Kg,28750,13777,46729,23377,29373,16001
"15091000 other Olive oil, virgin",Kg,864,221,-,-,-,-
15099000 Olive oil/fraction other,Kg,1175,70,-,-,-,-
