Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,72,61,61,55,64,77,75,82,79,73,-,-,-
Tangail,82,72,69,65,69,77,78,82,81,80,-,-,-
Mymensingh,83,78,76,73,75,83,83,85,84,85,-,-,-
Faridpur,81,71,70,66,75,83,82,85,84,80,-,-,-
Madaripur,82,77,75,72,77,84,84,88,86,83,-,-,-
Srimangal,81,74,74,72,73,84,81,85,83,85,-,-,-
Sylhet,72,69,67,69,74,83,83,87,81,82,-,-,-
Bogura,78,68,66,60,68,76,80,82,80,79,-,-,-
Dinajpur,81,73,69,66,67,73,80,83,84,82,-,-,-
Ishwardi,82,75,70,61,71,76,82,84,84,84,-,-,-
Rajshahi,81,73,71,64,72,78,82,85,86,84,-,-,-
Rangpur,82,75,71,68,69,78,80,83,81,81,-,-,-
Syedpur,80,73,69,68,68,76,80,82,81,80,-,-,-
chuadanga,83,75,69,62,72,78,82,85,85,82,-,-,-
Jashore,81,74,70,66,73,79,80,84,84,81,-,-,-
Khulna,81,75,75,68,71,80,82,85,85,79,-,-,-
Mongla,79,74,73,74,79,86,86,89,89,84,-,-,-
Satkhira,79,73,71,69,72,79,82,83,84,80,-,-,-
Barishal,82,77,75,73,77,85,85,91,89,86,-,-,-
Bhola,84,77,77,76,80,86,84,89,88,86,-,-,-
Khepupara,80,79,79,78,80,86,87,91,90,88,-,-,-
Patuakhali,81,75,77,77,80,87,88,90,89,86,-,-,-
Chandpur,80,73,72,72,77,86,84,90,86,82,-,-,-
Teknaf,71,72,71,75,79,86,***,***,***,***,-,-,-
Ambagan(Ctg),72,69,68,73,77,85,81,89,86,87,-,-,-
Cumilla,77,74,74,73,74,84,82,86,84,82,-,-,-
Cox's Bazar,67,68,66,71,77,83,83,89,85,81,-,-,-
Feni,76,69,69,68,73,82,80,86,83,82,-,-,-
Hatiya,81,80,78,78,82,89,86,91,89,89,-,-,-
Kutubdia,73,74,74,75,76,81,80,85,83,***,-,-,-
M.court,80,76,77,75,79,87,83,88,87,82,-,-,-
Rangamati,72,65,66,64,68,76,70,77,72,71,-,-,-
Sandwip,81,76,78,77,80,86,85,90,86,87,-,-,-
Chittagong,67,69,68,71,77,86,84,90,88,84,-,-,-
Sitakunda,60,62,62,65,66,72,71,76,71,70,-,-,-
Gopalgonj,81,73,72,71,75,83,84,87,87,82,-,-,-
Tarash,83,77,77,74,73,78,81,83,82,82,-,-,-
Netrokona,83,79,80,76,76,84,87,85,84,85,-,-,-
Rajarhati,85,80,74,72,73,82,82,85,84,84,-,-,-
Badalgachhi,83,75,76,72,72,77,82,84,85,86,-,-,-
Dimla,82,78,74,73,72,81,84,85,85,83,-,-,-
Kamarkhali,80,72,70,64,73,78,81,84,84,82,-,-,-
Tetulia,81,75,71,70,71,80,85,85,82,81,-,-,-
Nikli,85,84,80,80,75,75,85,81,85,83,-,-,-
