Type of Fishing,Number of Craft (Trawler/ Boat),Number of Unit (Gear/Net),Catch in Metric Ton,None,None_1,None_2,None_3
None,None,None,Shrimp,Hilsa,"Tuna &
Tuna Like
Fish","Other
Fish",Total
"A. INDUSTRIAL
Trawl Fishing
a) Shrimp Trawler
b) Fish Trawler","32
199","90
570","2218
1083","0
11046","0
411","2390
120022","4608
132562"
TOTAL INDUSTRIAL (A),231,660,3301,11046,411,122412,137170
"B. ARTISANAL
1. Gill Net Fishing
a) Mechanized
b) Non-mechanized","20359
16831","77768
40585","0
0","283700
27125","5717
0","65505
10904","354922
38029"
SUB TOTAL,37190,118353,0,310825,5717,76409,392951
"2. Set Bag Net Fishing
a) Seasonal (MB)
b) Seasonal (NMB)
c) All Seasonal (NMB)","10000
5200
5550","22404
10000
10025","40802
0
812","0
0
0","2560
0
0","106343
0
509","149705
0
1321"
SUB TOTAL,20750,42429,41614,0,2560,106852,151026
"3. Long Line Fishing
a) Jew Fish Long Line
i. Mechanized
ii. Non- mechanized
b) Other Long Line (NMB)","2500
400
325","10191
900
772","0
0
0","0
0
0","770
0
0","17479
350
258","18249
350
258"
SUB-TOTAL,3225,11863,0,0,770,18087,18857
4. Trammel Net Fishing (NMB),131,422,991,0,0,2090,3081
5. Other Gears Fishing (NMB),6373,15640,1700,0,0,1245,2945
TOTAL ARTISANAL (B),67669,188707,44305,310825,9047,204683,568860
GRAND TOTAL (A+B),67900,189367,47606,321871,9458,327095,706030
